id,category,item,price,rating,reviews,url
B07YT3S4YK,Appliances,"Frigidaire EFIC123-SS Counter Top Maker, Produces 26 pounds Ice per Day, Stainless Steel4.3 out of 5 stars3,3035 offers from$61.13",Not Found,4.3 out of 5 stars,"3,303",https://www.amazon.com/product-reviews/B07YT3S4YK/ref=zg_bs_g_appliances_d_sccl_16_cr/000-0000000-0000000
B0DRYB7Y2B,Appliances,"Aeitto Nugget Ice Maker Countertop, 55lbs/Day, Large Capacity Chewable Ice Maker, Rapid Ice Release in 5 Mins, Self-Cleaning with Stainless Steel Housing Ice Machine for Home Office and Party, Black4.9 out of 5 stars451 offer from$599.99",Not Found,4.9 out of 5 stars,45,https://www.amazon.com/product-reviews/B0DRYB7Y2B/ref=zg_bs_g_appliances_d_sccl_17_cr/000-0000000-0000000
B0D6VGHBVK,Appliances,"Nugget Ice Makers Countertop, Pebble Ice Machine with Chewable Pellet Ice, 34Lbs/24H, Self-Cleaning, Sonic Ice, One-Click Operation, for Kitchen,Office Stainless Steel Silver4.1 out of 5 stars1,71913 offers from$135.98",Not Found,4.1 out of 5 stars,"1,719",https://www.amazon.com/product-reviews/B0D6VGHBVK/ref=zg_bs_g_appliances_d_sccl_18_cr/000-0000000-0000000
B09YLKMHLH,Appliances,"Auertech Portable Washing Machine, 28lbs Twin Tub Washer Mini Compact Laundry Machine with Drain Pump, Semi-automatic 18lbs Washer 10lbs Spinner Combo for Dorms, Apartments, RVs4.2 out of 5 stars2,9071 offer from$179.99",Not Found,4.2 out of 5 stars,"2,907",https://www.amazon.com/product-reviews/B09YLKMHLH/ref=zg_bs_g_appliances_d_sccl_19_cr/000-0000000-0000000
B0CD2C8M4D,Appliances,"Silonn Nugget Ice Maker Countertop, Pebble Ice Maker with Soft Chewable Ice, One-Click Operation Ice Machine with Self-Cleaning, 33lbs/24H for Home,Kitchen,Office4.2 out of 5 stars7,34415 offers from$96.52",Not Found,4.2 out of 5 stars,"7,344",https://www.amazon.com/product-reviews/B0CD2C8M4D/ref=zg_bs_g_appliances_d_sccl_20_cr/000-0000000-0000000
B0BL7DCJBH,Appliances,"Portable Countertop Ice Maker Machine with Handle, 9 Bullet-Shaped Ice Cubes Ready in 6 Mins, 26Lbs/24H, Self-Cleaning Function with Ice Scoop and Basket for Home/Kitchen/Party (Grey)4.5 out of 5 stars2,7511 offer from$39.99",Not Found,4.5 out of 5 stars,"2,751",https://www.amazon.com/product-reviews/B0BL7DCJBH/ref=zg_bs_g_appliances_d_sccl_21_cr/000-0000000-0000000
B0DFH1WPMC,Appliances,"Electactic Ice Makers Countertop,26Lbs/24H,9 Cubes in 6 Mins,Portable Ice Maker Machine with Self-Cleaning,2 Sizes of Bullet Ice,Perfect for Home Kitchen(Black)4.5 out of 5 stars40815 offers from$43.17",Not Found,4.5 out of 5 stars,408,https://www.amazon.com/product-reviews/B0DFH1WPMC/ref=zg_bs_g_appliances_d_sccl_22_cr/000-0000000-0000000
B0D3LGT8M3,Appliances,"GoveeLife Smart Ice Maker Countertop, Portable Ice Machine with Voice Control, 9 Ice Cubes in 6 Minutes 3 Sizes, 26lbs/24Hrs, Self Cleaning RGB Lights, Quiet Ice Maker with Scoop for Kitchen Silver4.4 out of 5 stars3481 offer from$134.99",Not Found,4.4 out of 5 stars,348,https://www.amazon.com/product-reviews/B0D3LGT8M3/ref=zg_bs_g_appliances_d_sccl_23_cr/000-0000000-0000000
B09BVWBMJP,Appliances,"SMUG Countertop Ice Maker, 9 Cubes in 6 Mins, 26lbs in 24Hrs, 2 Sizes of Bullet Ice, Auto-Cleaning, Portable Ice Machine with Handle, Basket and Scoop for Home Kitchen, Party and Camping (Green)4.0 out of 5 stars3694 offers from$48.97",Not Found,4.0 out of 5 stars,369,https://www.amazon.com/product-reviews/B09BVWBMJP/ref=zg_bs_g_appliances_d_sccl_24_cr/000-0000000-0000000
B075QP7SCP,Appliances,"FRIGIDAIRE EFIC189-Silver Compact Ice Maker, 26 lb per Day, Silver4.4 out of 5 stars16,3875 offers from$56.95",Not Found,4.4 out of 5 stars,"16,387",https://www.amazon.com/product-reviews/B075QP7SCP/ref=zg_bs_g_appliances_d_sccl_25_cr/000-0000000-0000000
